anchor,term,relation,relationship_votes,citation_support,citation_support_votes,persuasion,persuasion_votes,final_verdict
cleanliness,"Clean, unclean; cleanse, cleansing",REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
coin,Coin,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
covenant,Covenant,REFINED,DIVERGENT|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
darkness,Darkness,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
day,Day,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
dew,Dew,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,DISPUTED,PARTIAL|STRONG|STRONG|PARTIAL,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
disciple,Disciple,REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
divorce,Divorce (bill of divorcement),REFINED,REFINED|REFINED|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
dog,Dog,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
door,"Door, gate",REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
dragon,Dragon,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
east,East,DISPUTED,REFINED|MATCH|REFINED|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
egypt,Egypt,DIVERGENT,REFINED|DIVERGENT|DIVERGENT|DIVERGENT,STRONG,STRONG|STRONG|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
elam,Elam,NOVEL,NOVEL|NOVEL|NOVEL|NOVEL,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,NOVEL
elders,Elders,DISPUTED,DIVERGENT|REFINED|DIVERGENT|NOVEL,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,DISPUTED
ephraim,Ephraim,DISPUTED,REFINED|REFINED|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,DISPUTED
eye,Eye,DISPUTED,MATCH|REFINED|MATCH|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
faith,Faith,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
faithful-witness,Faithful Witness,MATCH,MATCH|MATCH|MATCH|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,MATCH
fatherless,"Fatherless, orphan",REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
fear,Fear of the LORD,MATCH,MATCH|MATCH|MATCH|MATCH,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,MATCH
feet,Feet,MATCH,MATCH|MATCH|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,MATCH
fig,Fig leaves,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
field,Field,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|PARTIAL,NOT_APPLICABLE,,MATCH
fire,Fire,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
firmament,"Firmament (sky, atmosphere, space, heaven)",REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
fish,Fish,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
fish-2,Great Fish (Sea-monster),DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,STRONG,PARTIAL|STRONG|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
flood,Flood,DIVERGENT,DIVERGENT|DIVERGENT|REFINED|DIVERGENT,STRONG,STRONG|STRONG|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
fool,Fool,DISPUTED,MATCH|REFINED|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|PARTIAL,NOT_APPLICABLE,,DISPUTED
foreskin,Foreskin (uncircumcised),REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
fornication,"Fornication, whoredom",MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
four,Four winds,DIVERGENT,DIVERGENT|REFINED|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,PERSUADED,UNPERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
fruit,Fruit,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
garden,Garden,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|NOVEL,PARTIAL,PARTIAL|PARTIAL|PARTIAL|INSUFFICIENT,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
garment,Garment,MATCH,MATCH|MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
gehenna,Gehenna / Valley of Hinnom (“hell”),MATCH,REFINED|MATCH|MATCH|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
gnashing,Gnashing of teeth,DISPUTED,REFINED|DIVERGENT|DIVERGENT|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
gospel,Gospel,REFINED,REFINED|REFINED|DIVERGENT|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
grace,Grace,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
grafting,Grafting (grafted in),MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
grapes,Grapes,REFINED,REFINED|REFINED|MATCH|REFINED,DISPUTED,PARTIAL|STRONG|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
grass,Grass,REFINED,REFINED|REFINED|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
harlot,Harlot,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
harvest,Harvest,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
hate,Hate,REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
heart,Heart of the earth,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
heaven,Heaven,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
hell,Hell,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,DISPUTED,PARTIAL|STRONG|STRONG|PARTIAL,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
helmet,Helmet of salvation,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
highway,Highway,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
holy,Holy,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
horse,"Horse, white horse",REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
image,"Image of metals (gold, silver, brass, clay)",MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
instruction,Instruction,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
iron,Iron,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
island,"Island, isle",DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,DISPUTED,UNPERSUADED|PERSUADED|UNPERSUADED|PERSUADED,DIVERGENT_DISPUTED
israel,Israel,MATCH,MATCH|MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
issachar,Issachar,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
jacob,Jacob,REFINED,REFINED|REFINED|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
jew,Jew,MATCH,MATCH|MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
judgment,Judgment,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
justice,Justice,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
justification,"Justify, justification",REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,STRONG|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
knowing,"Knowing, to know",MATCH,MATCH|MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
lamb,The Lamb,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
lamp,Lamp,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
leaven,Leaven,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
liberty,Liberty,REFINED,MATCH|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
life,Life (the life),DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,DISPUTED,UNPERSUADED|PERSUADED|UNPERSUADED|PERSUADED,DIVERGENT_DISPUTED
light,Light,REFINED,REFINED|REFINED|REFINED|DIVERGENT,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
lion,Lion,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
living,Living creature,NOVEL,DIVERGENT|NOVEL|NOVEL|NOVEL,PARTIAL,PARTIAL|PARTIAL|PARTIAL|INSUFFICIENT,NOT_APPLICABLE,,NOVEL
living-2,Living water,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
lost,Lost sheep,DISPUTED,MATCH|REFINED|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,DISPUTED
love,Love,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
marriage,"Marriage, bride",MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,MATCH
meat,Meat,DIVERGENT,DIVERGENT|REFINED|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,PERSUADED,UNPERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
mercy,Mercy,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
midnight,Midnight,REFINED,REFINED|REFINED|DIVERGENT|REFINED,PARTIAL,PARTIAL|PARTIAL|INSUFFICIENT|PARTIAL,NOT_APPLICABLE,,REFINED
milk,Milk,REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
moment,Moment,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
moon,Moon,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
mountain,Mountain,DIVERGENT,DIVERGENT|REFINED|DIVERGENT|DIVERGENT,STRONG,PARTIAL|STRONG|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
naked,"Naked, nakedness",MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
name,Name,DISPUTED,REFINED|REFINED|DIVERGENT|NOVEL,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,DISPUTED
net,Net,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
new,New name,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|NOVEL,DISPUTED,PARTIAL|PARTIAL|INSUFFICIENT|INSUFFICIENT,UNPERSUADED,UNPERSUADED|UNPERSUADED|UNPERSUADED|UNPERSUADED,DIVERGENT_UNPERSUADED
new-moon,New moon,DIVERGENT,REFINED|DIVERGENT|DIVERGENT|DIVERGENT,DISPUTED,PARTIAL|INSUFFICIENT|INSUFFICIENT|PARTIAL,UNPERSUADED,UNPERSUADED|UNPERSUADED|UNPERSUADED|UNPERSUADED,DIVERGENT_UNPERSUADED
night,Night,DISPUTED,MATCH|REFINED|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,DISPUTED
nineveh,Nineveh,DISPUTED,REFINED|MATCH|REFINED|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
north,"North, the north country",REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
oil,Oil (lamp oil),DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
olive,"Olive, vine, fig",MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
palm,Palm of the hand (kaph),REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
palm-tree,Palm tree (tamar),MATCH,REFINED|MATCH|MATCH|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
peace,Peace,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
pearl,Pearl,NOVEL,NOVEL|DIVERGENT|NOVEL|NOVEL,DISPUTED,PARTIAL|PARTIAL|INSUFFICIENT|INSUFFICIENT,NOT_APPLICABLE,,NOVEL
poor,"Poor, meek, needy",MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
remnant,Remnant,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
rich,Rich,MATCH,MATCH|MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
righteousness,Righteousness,DIVERGENT,REFINED|DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,PERSUADED,UNPERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
rock,Rock,MATCH,REFINED|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
sand,Sand,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
sabbath,"Sabbath (shabbat, sabbaton)",DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|NOVEL,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
sabbath-day,Sabbath day (yom ha-shabbat),NOVEL,DIVERGENT|NOVEL|NOVEL|NOVEL,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,NOVEL
sanctification,"Sanctify, sanctification",REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
sapphire,Sapphire,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,DISPUTED,UNPERSUADED|PERSUADED|UNPERSUADED|PERSUADED,DIVERGENT_DISPUTED
scarlet,Scarlet,DISPUTED,DIVERGENT|REFINED|DIVERGENT|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,DISPUTED
sea,"Sea, waters",REFINED,REFINED|REFINED|DIVERGENT|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
seal,Seal (mark in the forehead),MATCH,REFINED|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
seed,Seed,DISPUTED,REFINED|MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
serpent,Serpent,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
shadow,Shadow,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
shadow-of-death,Shadow of Death,DISPUTED,REFINED|REFINED|DIVERGENT|NOVEL,PARTIAL,PARTIAL|PARTIAL|INSUFFICIENT|PARTIAL,NOT_APPLICABLE,,DISPUTED
sheep,Sheep,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
sheol,"Sheol (the grave, “hell”)",MATCH,MATCH|MATCH|MATCH|REFINED,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
ship,Ship,DIVERGENT,REFINED|DIVERGENT|DIVERGENT|DIVERGENT,DISPUTED,PARTIAL|STRONG|STRONG|PARTIAL,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
sign,Sign,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
sin,Sin,DISPUTED,REFINED|REFINED|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
sodom,"Sodom, Gomorrah",REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
stars,Stars,DISPUTED,DIVERGENT|REFINED|REFINED|DIVERGENT,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
stone,Stone,MATCH,MATCH|MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
storm,"Storm, tempest",DISPUTED,REFINED|DIVERGENT|DIVERGENT|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
stranger,Stranger,REFINED,REFINED|REFINED|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
sun,Sun,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
swine,"Swine (pig, boar, sow)",REFINED,REFINED|REFINED|DIVERGENT|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
sword,Sword,MATCH,MATCH|MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
tail,Tail,DISPUTED,REFINED|MATCH|MATCH|REFINED,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
tares,Tares (darnel),MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
tartarus,Tartarus (tartaroō),MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
tower,Tower,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
tree,Tree,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
truth,Truth (the truth),DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,DISPUTED,PARTIAL|STRONG|STRONG|PARTIAL,PERSUADED,PERSUADED|PERSUADED|UNPERSUADED|PERSUADED,DIVERGENT_PERSUADED
tzitzit,Tzitzit,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
understanding,Understanding,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
