words,file,approx_line,sentence
113,books/symbolic-language/08-the-name.adoc,284,"The covering a bride enters when she takes the name is stitched at every corner with the reminder of the law of the One who spreads it — and a bleeding woman once link:/books/symbolic-language/wings/[took hold of that corner] in sym:sym-faith[faith], and the name did what no sound can (Matthew 9:20-21).footnote:fn08wings[The wing, the fringe bound at its corner, and the healing found there are derived in the link:/books/symbolic-language/wings/[Wings] chapter.] The name and the commandments arrive as one garment — which is why the name is kept by keeping the law (Deuteronomy 28:58), and emptied any other way."
113,books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,108,"Two symbols compound in that phrase: the tree is a nation, and the life is the covenant-existence just defined — so the tree of life is the living nation, the community whose obedience is on display; and what one lays hold of to belong to it is sym:sym-wisdom[wisdom], link:/books/symbolic-language/the-fool-and-the-wise/[the law kept and done] (Deuteronomy 4:6).footnote:fn07deut46[Derived in the chapter link:/books/symbolic-language/the-fool-and-the-wise/[The Fool and the Wise].] (The tree as a symbol of the nation is its own study; here it is enough that the law and the life are bound together.)"
111,books/symbolic-language/32-time-tested-tradition.adoc,35,"He said it to the very leadership whose successors fixed the calendar now defended; He warned His disciples to __“beware of the leaven of the Pharisees”__ — which, Matthew explains, __“is their *doctrine*”__ (Matthew 16:6, 12); Mark records the charge that reaches our question exactly — __“making the word of God of none effect through your *tradition*”__ (Mark 7:13); Paul instructs Titus to give no heed __“to Jewish fables, and commandments of men, that turn from the truth”__ (Titus 1:14), and warns the Colossians against being taken captive __“after the *tradition of men*… and not after Christ”__ (Colossians 2:8)."
111,books/symbolic-language/08-the-name.adoc,201,"Beneath the Greek stands a Hebrew word the King James renders both ways, and the wobble is our familiar signpost: __“God did *tempt* Abraham”__ (Genesis 22:1) — the first __“tempt”__ in the Bible, in the very scene that gives us the first __“worship”__ (Genesis 22:5, a discovery the link:/books/symbolic-language/worship/[Worship] chapter will unfold) — is the same word as __“that I may *prove* them”__ over the manna (Exodus 16:4), and __“to *prove* thee… whether thou wouldest *keep his commandments*, or no”__ (Deuteronomy 8:2); David even prays _for_ it: __“*prove* me”__ (Psalm 26:2)."
110,books/symbolic-language/44-jacob-israel-and-ephraim.adoc,36,"The very night the name is given, God says __“thy name shall not be called any more Jacob”__ (Genesis 35:10) — and then keeps right on calling him Jacob, and names Himself to the end __“the God of Jacob.”__ Isaiah even trades the titles between the two names — __“Israel… my servant, Jacob whom I have chosen”__ (Isaiah 41:8), then __“Jacob my servant; and Israel, whom I have chosen”__ (Isaiah 44:1); and each name runs the whole range, for He __“hath not beheld iniquity in Jacob”__ (Numbers 23:21) and yet __“Israel is defiled”__ (Hosea 5:3)."
110,books/symbolic-language/38-mountain.adoc,44,"It is __“cut out… without hands”__ (Daniel 2:45) — and _to cut_ link:/books/symbolic-language/daniel-unsealed/[is the covenant verb] (Genesis 15:18).footnote:fn33karath[Covenants are cut, not made — _karath_ — as the link:/books/symbolic-language/daniel-unsealed/[Daniel Unsealed] chapter showed.] A stone cut by no human hand is a covenant cut by God Himself — and Scripture names the sym:sym-rock[Rock]: __“that sym:sym-rock[Rock] was Christ”__ (1 Corinthians 10:4), the covenant in person; __“the sym:sym-stone[stone] which the builders refused”__ is become __“the head stone of the corner”__ (Psalm 118:22)."
108,books/symbolic-language/17-justice-and-judgment.adoc,68,"God __“doth execute the *judgment* of the fatherless and widow”__ (Deuteronomy 10:18); Israel is told to __“seek judgment, relieve the oppressed, *judge the* sym:sym-fatherless[fatherless], *plead for the* sym:sym-widow[widow]”__ (Isaiah 1:17); and the indictment of the princes is exactly its absence — __“they judge *not* the fatherless, neither doth the cause of the widow come unto them”__ (Isaiah 1:23), __“the *right* of the needy do they not judge”__ (Jeremiah 5:28) — where __“right”__ is _mishpat_ again: the needy man’s judgment is his *due*, the portion God’s law rules to be his."
108,books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,128,"No lion, no ravenous beast: the beast is a defined symbol — a kingdom of the world, __“the fourth sym:sym-beast[beast] shall be the fourth *kingdom* upon earth”__ (Daniel 7:23) — and the lion is the beast Scripture names a ruler: __“As a roaring sym:sym-lion[lion]… so is a *wicked ruler* over the poor people”__ (Proverbs 28:15); __“her *princes* within her are roaring lions”__ (Zephaniah 3:3); __“Israel is a scattered sym:sym-sheep[sheep]; the *lions* have driven him away: first the *king of Assyria*… and last this *Nebuchadrezzar king of Babylon*”__ (Jeremiah 50:17)."
105,books/symbolic-language/39-sea-and-waters.adoc,382,"If the sea is the peoples, then the people in it are sym:sym-fish[fish] — and Scripture says exactly that: God makes men as the fishes of the sea, creatures with no ruler over them (Habakkuk 1:14) — the scattered, ungoverned mass, exposed to every sym:sym-net[net] link:/books/symbolic-language/the-parables-of-the-kingdom/[dragged through the waters].footnote:fn34fishnet[The fish and the net are derived in the link:/books/symbolic-language/the-parables-of-the-kingdom/[Parables of the Kingdom] chapter.] Now listen to Jesus recruit His disciples, and watch the interpretation arrive in the very next verse:"
105,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,281,"The derivation stands on the Old Testament the disciples held: the Hebrew _peninim_, which the KJV prints as __“rubies,”__ is by Strong's own definition __“probably a pearl (as round)”__ — sym:sym-wisdom[wisdom] is __“more precious than sym:sym-pearl[pearls]”__ (Proverbs 3:15), her price __“above *pearls*”__ (Job 28:18), and the virtuous woman — the sym:sym-marriage[bride] of a later chapter — is __“far above *pearls*”__ (Proverbs 31:10); the seeker who __“searchest for her as for *hid treasures*”__ (Proverbs 2:4) is the merchant himself, one figure in Solomon's book."
104,books/symbolic-language/39-sea-and-waters.adoc,368,"God brings __“many nations”__ against her __“as the sym:sym-sea[sea] causeth his sym:sym-sea[waves] to come up”__ (Ezekiel 26:3) — the nations are the waves; her rulers are __“the princes of the sym:sym-sea[sea]”__ (Ezekiel 26:16); she is __“a merchant of the people for many sym:sym-island[isles]”__ (Ezekiel 27:3) — her cargo is people; and her prince boasts, __“I sit in the seat of God, in the midst of the sym:sym-sea[seas]”__ (Ezekiel 28:2) — a throne amid the peoples, claiming God’s chair."
102,books/symbolic-language/30-the-pearl.adoc,311,"- __keepeth the watch / walkings__ (31:27) — _tsofiyah_, the watchman's verb (“I have made thee a *watchman*,” Ezekiel 3:17); _halichot_, “a walking, a procession” — the family of Job 31:26's moon “*walking* in brightness.” - __maketh her shine / she it is that shall shine / make her shine in the gates__ (31:28, 30, 31) — _halal_, whose base sense is “to *shine*” before it is “to praise” (the King James’ own “when his candle *shined*,” Job 29:3; “the moon walking in brightness” verse sits in the same field): to praise her is to make her shine, and both senses are true at once."
101,books/symbolic-language/41-grass.adoc,96,"Leaven link:/books/symbolic-language/the-parables-of-the-kingdom/[is corrupt doctrine] working through the whole lump — purged from every house before Passover, banned from every offering on the altar (Exodus 12:15; Leviticus 2:11; Matthew 16:12; 1 Corinthians 5:6-7).footnote:fn36leaven[Derived in the chapter link:/books/symbolic-language/the-parables-of-the-kingdom/[The Parables of the Kingdom].] So the bread offered to God is _unleavened_ — the feast kept __“with the *unleavened* sym:sym-bread[bread] *of sincerity and* sym:sym-truth[truth]”__ (1 Corinthians 5:8) — a pure and unsoured word."
101,books/symbolic-language/34-the-fall-of-babylon.adoc,158,"Jonah link:/books/symbolic-language/sign-of-jonah/[went into the same sea and rose]; the Messiah went into the heart of the earth and could not be held by it (Acts 2:24); and every convert enacts the split in baptism, going under into death and coming up in newness of life (Romans 6:4), his sins staying down like Babylon (Micah 7:19).footnote:fn28notrising[The rising half of the contrast is drawn scene by scene in the link:/books/symbolic-language/sign-of-jonah/[Sign of Jonah] chapter.] The waters take everyone; the covenant decides who comes up."
101,books/symbolic-language/01-introduction.adoc,20,"Even so, when he gave the parables of the kingdom his own disciples did not understand, and Jesus rebuked them for it — a fair rebuke, because the keys were already in the Old Testament, the __“dark sayings of old”__ the psalm said he would utter (Mark 4:13; Psalm 78:2-3; Matthew 13:35) — and link:/books/symbolic-language/the-parables-of-the-kingdom/[a chapter ahead sits that exam].footnote:fn01parables[The link:/books/symbolic-language/the-parables-of-the-kingdom/[Parables of the Kingdom] chapter derives each parable of Matthew 13 from the Old Testament alone.]"
100,books/symbolic-language/31-the-sabbath.adoc,113,"Fixed dates and weekday-landings, irreconcilable on the continuous week, agree without effort — and the triple-specified count shows itself for what it is: a *checksum*, written into the law the way redundancy is written into all Scripture, so that the true calendar passes silently and every altered one is convicted by its own arithmetic.footnote:fn31ttt[The full case — the month of four sevens, the renewed-moon days, the witnesses for the fixed sixteenth, and the history of who changed what — is _Time Tested Tradition: The Renewed Biblical Calendar_; this chapter shows only the lock the key must fit.]"
100,books/symbolic-language/16-shadow.adoc,54,"The shadow of His sym:sym-wings[wings] is where David hides (Psalm 17:8), makes his refuge until calamities pass (Psalm 57:1), and rejoices (Psalm 63:7) — and those wings are the _kanaph_, the edge link:/books/symbolic-language/wings/[where the fringe is bound] as the reminder of the commandments (Numbers 15:38-39).footnote:fn13kanaph[Derived in the link:/books/symbolic-language/wings/[Wings] chapter.] __“The LORD is thy keeper: the LORD is thy *shade* upon thy right hand”__ (Psalm 121:5) — the LORD does not merely cast a shadow; He _is_ the shade."
98,books/symbolic-language/40-trees.adoc,165,"The Hebrew says only __“after one in the midst”__; __“tree”__ is supplied by the translators — and with it gone, the literal reading has nothing left to name, so it guesses: a sacred tree, a priest in the midst, a deity called __“One.”__ The symbol supplies nothing — __“in the gardens, after one”__ is among the nations, following one — and it reads with the context, for the next verses are the LORD gathering __“all nations and tongues”__ and sending the escaped __“unto the nations”__ (Isaiah 66:18-19)."
98,books/symbolic-language/28-sun-moon-and-stars.adoc,344,"The __“*bountiful* eye”__ is, in the letters, a *good eye* — טוֹב־עַיִן — and its goodness is giving: __“he giveth of his *bread* to the sym:sym-poor[poor]”__ (Proverbs 22:9); the __“*evil* eye”__ hoards its bread (Proverbs 23:6); and Jesus keeps the same pair in the lamp-saying itself — __“but if thine sym:sym-eye[eye] be *evil*, thy whole body shall be full of sym:sym-darkness[darkness]”__ (Matthew 6:23); __“Is thine eye *evil*, because I am *good*?”__ (Matthew 20:15)."
97,books/symbolic-language/30-the-pearl.adoc,100,"It is the palm God laid over Moses while the glory passed by (Exodus 33:22); and here it is the curved cup that receives the Bridegroom's light and *holds fast the circuit*, carrying it round the year — then opens toward the sym:sym-poor[poor], the King's own signature: __“He shall deliver the needy when he crieth; the *poor* also”__ (Psalm 72:12), in the very psalm where they fear Him __“with the sun and *before the face of* the moon”__ through all revolutions of time (72:5, as the letters run)."
97,books/symbolic-language/29-lucifers-declared-plan.adoc,49,"_Shachar_, __“morning,”__ is written with the same consonants as the verb Strong's defines __“to be dim or dark (in color)… be black”__ — the dictionary itself derives the dawn-word __“through the idea of the *duskiness* of early dawn.”__ The hour called _shachar_ is the dark before sunrise — Mary came to the tomb __“early, when it was yet dark”__ (John 20:1) — so the fallen shining one is _ben shachar_ in the second sense: the product of the darkness before dawn, a light whose output is sym:sym-darkness[darkness]."
97,books/symbolic-language/21-worship.adoc,113,"Moses wrote __“fear”__; Jesus rendered it __“worship.”__ The Lord Himself treats the two words as one thing — and the rest of Scripture backs His translation in parallel columns: __“him shall ye sym:sym-fear[fear], and him shall ye *worship*, and to him shall ye do sacrifice”__ (2 Kings 17:36); __“O *worship* the LORD in the beauty of holiness: *fear* before him, all the earth”__ (Psalm 96:9); __“Who shall not *fear* thee, O Lord?… all nations shall come and *worship* before thee”__ (Revelation 15:4)."
97,books/symbolic-language/05x-the-disciple.adoc,37,"These are gates, not growth curves — and inside the gates He named the marks: __“If ye *continue in my word*, then are ye my disciples *indeed*”__ (John 8:31); __“By this shall all men know that ye are my disciples, if ye have sym:sym-love[love] one to another”__ (John 13:35) — and love is the keeping of the commandments (1 John 5:3); __“Herein is my Father glorified, that ye bear much sym:sym-fruit[fruit]; so shall ye be my disciples”__ (John 15:8) — and fruit is works."
96,books/symbolic-language/30-the-pearl.adoc,182,"And the oldest translation of all leans the same way: the Septuagint, made centuries before Messiah, renders the day __“in the *glorious* day of your feast”__ — the Greek is _eusēmos_, *well-marked, conspicuous*, built on _sēma_, a *sign*, the very root the Greek of Genesis 1:14 hangs the lights on, __“for *signs*.”__ Whatever else those translators heard in _keseh_, they heard the day the sky cannot hide — and of the moon's phases exactly one is conspicuous, while the dark conjunction is the one day the sky shows no sign at all."
96,books/symbolic-language/15-heaven-and-hell.adoc,181,"__“Everlasting punishment”__ (Matthew 25:46) is _kolasis_ — from a root meaning *to prune*, the gardener's word, and Jesus drew its picture Himself: the fruitless branch __“is cast forth… and burned”__ (John 15:6) — cut off and consumed, not kept alive in the coals; and __“everlasting”__ (_aiōnios_) marks the permanence of the *result*, exactly as __“eternal redemption”__ (Hebrews 9:12) is a redeeming that happened once and holds forever, and as Sodom, set forth as an example of __“eternal fire”__ (Jude 7), is not burning this afternoon."
95,books/symbolic-language/15x-weeping-and-gnashing.adoc,68,"* __“the *children of the kingdom* shall be cast out”__ (Matthew 8:12) * the tares — __“all things that offend, and them which do *lawlessness*”__ — gathered *out of His kingdom* (Matthew 13:41-42) * the bad fish, severed __“from among the *just*”__ (Matthew 13:49-50) * the wedding *guest* without the garment (Matthew 22:13) * the *evil servant*, appointed __“his portion with the *hypocrites*”__ (Matthew 24:51) * the *unprofitable servant* (Matthew 25:30) * the ones who __“have eaten and drunk in thy presence”__ (Luke 13:26-28)"
95,books/symbolic-language/11-marriage-and-divorce.adoc,204,"That is why Hosea, God’s sign-and-similitude marriage, must not only endure his wife’s adultery but _buy her back_ — __“So I *bought her* to me for fifteen pieces of silver”__ (Hosea 3:2) — and why the reunion is a fresh betrothal in the vocabulary this book keeps finding at the center: __“I will *betroth thee* unto me for ever; yea, I will betroth thee unto me in sym:sym-righteousness[righteousness], and in sym:sym-judgment[judgment]… and thou shalt sym:sym-knowing[know] the LORD”__ (Hosea 2:19-20)."
95,books/symbolic-language/05-gospel.adoc,99,"The passage is Isaiah 61:1-2, and its closing proclamation — __“the *acceptable* sym:sym-year[year] *of the LORD*”__ — is the *year of release*, link:/books/symbolic-language/liberty/[the seventh year of Deuteronomy 15], when debts are cancelled and captives go free.footnote:fn05release[The full derivation is in the link:/books/symbolic-language/liberty/[Liberty] chapter.] The gospel, in Jesus’ own chosen words, is a royal proclamation of release — and He sat down and told them, __“This day is this scripture fulfilled in your ears”__ (Luke 4:21)."
94,books/symbolic-language/39-sea-and-waters.adoc,556,"That is why __“the sand of the sea”__ is Scripture’s byword for a multitude past numbering: Abraham’s seed __“as the sym:sym-sand[sand] which is upon the sym:sym-sea[sea] shore”__ (Genesis 22:17); Israel __“as the sym:sym-sand[sand] of the sym:sym-sea[sea], which cannot be measured nor numbered”__ (Hosea 1:10); and the last enemy horde, Gog and Magog, __“the number of whom is as the sym:sym-sand[sand] of the sym:sym-sea[sea]”__ (Revelation 20:8)."
94,books/symbolic-language/37-the-moment.adoc,106,"The sym:sym-mountain[mountain] is an empire, and Scripture knows one mountain that link:/books/symbolic-language/mountain/[holds all the kingdoms at once]: the destroying mountain that destroys all the earth (Jeremiah 51:25) — sym:sym-babel[Babylon], the composite kingdom.footnote:fn31mountain[The mountain-as-kingdom derivation — Jeremiah 51:25 beside Daniel 2 and Revelation 17 — is made in the link:/books/symbolic-language/mountain/[Mountain] chapter.] And the offer arrives priced in Babylon's own doom-unit: he shows the kingdoms in a *moment* — the very measure by which they fall."
94,books/symbolic-language/36-clouds.adoc,83,"The rains run on the covenant's calendar: __“I will give you the rain of your land *in his due season*, the *first rain* and the *latter rain*”__ — for obedience (Deuteronomy 11:14); __“he shall come unto us *as the rain*, as the *latter and former rain* unto the earth”__ (Hosea 6:3) — the LORD Himself arriving on the rain's own schedule; __“he hath given you the *former rain* moderately, and he will cause to come down for you… the former rain, and the *latter rain*”__ (Joel 2:23)."
94,books/symbolic-language/28-sun-moon-and-stars.adoc,169,The two dominions have their peoples: the children of sym:sym-light[light] and of the sym:sym-day[day] — the households link:/books/symbolic-language/light-and-darkness/[the Light and Darkness chapter divided] (1 Thessalonians 5:5).footnote:fn24households[Derived in the link:/books/symbolic-language/light-and-darkness/[Light and Darkness] chapter.] The day's children are the covenant righteous; the night is where the nations sit — __“Galilee of the *Gentiles*; the people which sat in sym:sym-darkness[darkness] saw great sym:sym-light[light]”__ (Matthew 4:15-16).
93,books/symbolic-language/42-garments.adoc,55,"That spread skirt is the _kanaph_, the sym:sym-wings[wing], link:/books/symbolic-language/wings/[doing both of its offices]: the edge that carries the fringe bound as the reminder to keep the commandments and do them (Numbers 15:39), and the shade a refuge shelters under.footnote:fn37kanaph[The kanaph — wing, skirt, border, corner — and the fringe at its edge are derived in the link:/books/symbolic-language/wings/[Wings] chapter.] The covenant contains the commands; faithfulness to them gains the covering — and what it covers is the nakedness, the sin."
93,books/symbolic-language/18-liberty.adoc,143,"Liberty as license — __“liberty for an occasion to the flesh”__ (Galatians 5:13), __“liberty for a cloke of maliciousness”__ (1 Peter 2:16) — is not liberty misused; it is the old master’s brand under a new name, for __“whosoever committeth sym:sym-sin[sin] is the servant of sin.”__ The offer of freedom from God’s rule is the serpent’s original sales pitch, and it has never once delivered: the man who escapes the law of liberty does not walk free, he walks back into the slaver’s house."
93,books/symbolic-language/10-the-coin.adoc,135,"The money is called __“a *memorial*”__ (Exodus 30:16) — the same word the law uses for the sign bound between the eyes (on the forehead) — and it is not banked but appointed __“for the service of the tabernacle.”__ Appointed how, Exodus records to the shekel: __“of the hundred talents of silver were *cast the sockets of the sanctuary*, and the sockets of the vail; … a talent for a socket”__ (Exodus 38:25-27) — a half-shekel a head for 603,550 counted men, melted into the foundations."
92,books/symbolic-language/21-worship.adoc,84,"The made thing men serve takes a fixed political shape in the Bible’s symbolic language: the sym:sym-beast[beast], a kingdom of men — a different Greek word, but the same structure, for a kingdom is as much a made thing as a carved one — so that creature-worship comes to its head exactly where this chapter is going: __“all the world… worshipped the beast”__ (Revelation 13:3-4), and the everlasting gospel answers by naming God by the one act no creature shares: __“worship him that *made*.”__"
91,books/symbolic-language/30-the-pearl.adoc,200,"The thrones are *set* — placed like lights in their stations.footnote:dan79set[The King James prints __“the thrones were cast down”__; the Aramaic verb is one of placing, and the newer translations read it so — the thrones were set, not overthrown.] And the title under __“Ancient of days”__ is built on a root of moving onward, going before — read once, He is the Ancient of Days; read again, He is the *Foremost of Days*: the One at the head of the days, seated where the days begin."
91,books/symbolic-language/22-the-fear-of-the-lord.adoc,126,"The kingdom is a sym:sym-mountain[mountain] and the peoples a sym:sym-sea[sea]; the sym:sym-gospel[gospel] is the renewed covenant, the law going forth from Zion; the sym:sym-way[way], the sym:sym-truth[truth], and the sym:sym-life[life] are that law walked; the sym:sym-name[name] is the covenant owned, the sym:sym-garment[garment] the righteousness worn, the sym:sym-light[light] the covenant made visible; the wise are those who do it, and the fools those who do not."
91,books/symbolic-language/11-marriage-and-divorce.adoc,19,"Ask it what _porneia_ means and the answer is just as confident: __“the broad New Testament term for illicit sexual activity or ‘sexual immorality’ — any form of sexual intercourse or behavior outside the covenant of monogamous marriage.”__ Press further and the scholarship divides into three camps — most read the exception as any serious sexual sin; some confine it to sin discovered during betrothal, like Joseph’s dilemma; a few tie it to the forbidden unions of Leviticus 18 — and the survey closes the way surveys do: the majority view prevails."
90,books/symbolic-language/42-garments.adoc,15,"The man __“had not on a wedding garment”__ (Matthew 22:11), and when the king asks how he entered so, he has no answer; __“he was speechless”__ (Matthew 22:12) — the Greek is stronger than the English: _phimoō_, to *muzzle*, the same word Paul uses of the ox that treads out the grain (1 Corinthians 9:9) and the very word Jesus speaks to the storm and to unclean spirits, __“Peace, be still”__ (Mark 4:39), __“Hold thy peace”__ (Mark 1:25)."
90,books/symbolic-language/39-sea-and-waters.adoc,394,"In the end the sea even yields up its wealth to Zion: __“the abundance of the sym:sym-sea[sea] shall be converted unto thee, the forces of the Gentiles shall come unto thee”__ (Isaiah 60:5) — the verse glossing itself once more, the abundance of the sea being the Gentiles — and Moses had promised exactly that, when the tribes would __“call the people unto the sym:sym-mountain[mountain]”__ and __“suck of the abundance of the sym:sym-sea[seas]”__ (Deuteronomy 33:19)."
90,books/symbolic-language/03-signs-and-similitudes.adoc,212,"The Son thus relives the nation’s story, and where Israel fell, He stands: through the water — as all Israel was __“baptized… in the sym:sym-cloud[cloud] and in the sym:sym-sea[sea]”__ (1 Corinthians 10:2, a crossing the sym:sym-sea[Sea & Waters] chapter will read) — then forty days fasting in the wilderness answering Israel’s forty years (Matthew 4:2), turning the tempter away each time with words drawn from the very chapters Moses wrote about those years (Deuteronomy 8:3; 6:16; 6:13)."
89,books/symbolic-language/30-the-pearl.adoc,22,"The link:/books/symbolic-language/the-parables-of-the-kingdom/[Parables of the Kingdom] chapter already dug them out from under the King James’ __“rubies”__: the Hebrew _peninim_ is, by Strong's own definition, __“probably *a pearl* (as round).”__ Recovered, the pearls keep exactly the parable's company: sym:sym-wisdom[Wisdom] is priced above *pearls* (Proverbs 3:15; 8:11; Job 28:18) — and the seeker who searches for her __“as for *hid treasures*”__ (Proverbs 2:4) is himself the merchant of the parable."
89,books/symbolic-language/14-the-remnant.adoc,245,"The book of 2 Esdras, wrestling with exactly our question, stacks analogy on analogy: __“The most High hath made this world for many, but the world to come for few”__; the lost outnumber the saved __“like as a wave is greater than a drop”__; and God keeps __“a grape of the cluster… and a plant of a great people,”__ one grape from a cluster of hundreds, kept and perfected __“with great labour”__ (2 Esdras 8:1; 9:15-16, 21-22)."
