file,line,trigger,text
books/symbolic-language/24-what-is-the-point.adoc,109,mark what,"Now mark what kind of case that is: not a point at all, but a letter — a letter the promise itself guards."
books/symbolic-language/24-what-is-the-point.adoc,123,Mark what,"Mark what the command is for: __“that ye may keep the commandments”__ — the fence against adding exists for the sake of obedience, the same stake this chapter set at its start."
books/symbolic-language/26-noah-uncovered.adoc,84,weigh what,Now weigh what this verse would cost to write.
books/symbolic-language/27-behold-the-hand.adoc,27,Hold that,"Hold that rule, and now spell the Name."
books/symbolic-language/27-behold-the-hand.adoc,77,Mark what,Mark what that path does not do: it breaks no bone.
books/symbolic-language/27-behold-the-hand.adoc,96,Weigh what,"Weigh what this layer is, and what it is not."
books/symbolic-language/28-sun-moon-and-stars.adoc,125,Hold that,Hold that mark: a perfect and complete gift bears *no shadow of turning* — it will divide the true sign from the counterfeit when the counterfeit appears.
books/symbolic-language/28-sun-moon-and-stars.adoc,144,Weigh what,"Weigh what the word testifies: the throne stands to the sun as the *wife* stands to her *husband* — the _ezer ke-negdo_, the helper who is his counterpart and mate."
books/symbolic-language/29-lucifers-declared-plan.adoc,56,Hold that,"Hold that identity, for every line of the plan runs on it."
books/symbolic-language/29-lucifers-declared-plan.adoc,76,load-bearing,"_Moed_ is one of the most load-bearing words in the Torah: the *appointed times* — __“the feasts (_moedim_) of the LORD, which ye shall proclaim to be holy convocations”__ (Leviticus 23:2); the lights of the fourth day were hung __“for signs, and for seasons (_moedim_)”__ (Genesis 1:14); the moon appointed for the seasons (Psalm 104:19); the tabernacle itself is the _ohel moed_, the tent of *meeting* — of the appointed time."
books/symbolic-language/30-the-pearl.adoc,186,Mark what,"Mark what the verse does not say: there is no __“and”__ between the new moon and the full moon — one day, not two."
books/symbolic-language/31-the-sabbath.adoc,98,Now watch,Now watch the count expose a paradox — and mark what its solution must look like.
books/symbolic-language/32-time-tested-tradition.adoc,42,weigh what,"When that testimony is put on the stand, weigh what it actually brings."
books/symbolic-language/34-the-fall-of-babylon.adoc,83,mark what,And mark what an almond *is*: a fruit that is itself a sym:sym-seed[seed] — and __“the seed is the *word of God*”__ (Luke 8:11).
books/symbolic-language/37-the-moment.adoc,112,Mark what,"Mark what actually changes hands in that moment, for it is not what the devil was holding."
books/symbolic-language/38-mountain.adoc,186,through the lens,"Another verse that is poetic on the surface, but carries a far more practical message once you read it through the lens of the Bible’s Symbolic Language:"
books/symbolic-language/38-mountain.adoc,212,bunker,"Then, those who are not caught as fish will be hunted down from among the nations, in every city, and out of every bunker."
books/symbolic-language/38-mountain.adoc,254,whole point,"The contrast is the whole point: AI does not interpret Scripture for us, and it must not be trusted to — but the meaning is already there, recoverable by anyone, or anything, willing to follow the method rather than lean on inherited opinion."
books/symbolic-language/39-sea-and-waters.adoc,18,fluff,We will investigate all of these uses in this chapter and then explore how they can help us gain deeper insights into verses most often read over as mere poetic “fluff”.
books/symbolic-language/39-sea-and-waters.adoc,130,Keep that,Keep that sym:sym-wind[wind] in mind; we will come back to it.
books/symbolic-language/39-sea-and-waters.adoc,132,Now watch,Now watch where kingdoms come from.
books/symbolic-language/39-sea-and-waters.adoc,466,Read that,"Read that slowly: he sat in the sea, and the multitude stood on the land."
books/symbolic-language/42-garments.adoc,59,Mark what,"Mark what follows it, for the garment is a *second* gift, given inside the covenant:"
books/symbolic-language/47-the-other-white-meat.adoc,156,weigh what,Now weigh what the whole case makes of the command itself.
