file,line,text
books/symbolic-language/08-the-name.adoc,121,To __“sym:sym-belief[believe] on his name”__ (John 1:12) is not to credit a title but to enter that covenant in trusting obedience.
books/symbolic-language/08-the-name.adoc,163,"The mouth full of the name, the ear turned from the covenant that fills it: such prayer does not merely go unanswered, it offends."
books/symbolic-language/08-the-name.adoc,198,"The last petition asks the covenant God for the covenant deliverance: __“lead us not into temptation, but *deliver us* from evil”__ (Matthew 6:13)."
books/symbolic-language/08-the-name.adoc,214,"Trial itself is not prayed away — the manna was given to prove — the plea is to be brought _through_ the proving and out of the destroyer’s hand, with the promise standing behind it: God __“will not suffer you to be tempted above that ye are able; but will with the temptation also make a *way to escape*”__ (1 Corinthians 10:13)."
books/symbolic-language/08-the-name.adoc,303,The symbols do not merely repeat; they compound.
books/symbolic-language/09-the-seal.adoc,112,"God's servants do not merely carry His mark; He wears them: __“though Coniah… were the *signet upon my right hand*, yet would I pluck thee thence”__ (Jeremiah 22:24) — and to faithful Zerubbabel, __“I… will make thee as a *signet*: for I have *chosen* thee”__ (Haggai 2:23)."
books/symbolic-language/10-the-coin.adoc,114,"The law prices persons in silver — not as a figure of speech, but as statute: a man vowed to God is redeemed __“by thy estimation”__, in sanctuary shekels (Leviticus 27:2-8)."
books/symbolic-language/10-the-coin.adoc,135,The money is called __“a *memorial*”__ (Exodus 30:16) — the same word the law uses for the sign bound between the eyes (on the forehead) — and it is not banked but appointed __“for the service of the tabernacle.”__
books/symbolic-language/11-marriage-and-divorce.adoc,130,"__“Put away… according to the law”__ — divorce, not as concession but as obedience, demanded by the men who trembled at the commandment; and Nehemiah enforces the same, holding up Solomon as the proof of where the strange wives lead: __“even him did outlandish women cause to sin”__ (Nehemiah 13:26)."
books/symbolic-language/11-marriage-and-divorce.adoc,138,"To the married he gives the absolute rule and names its source: __“I command, yet *not I, but the Lord*, Let not the wife depart from her husband”__ (1 Corinthians 7:10)."
books/symbolic-language/11-marriage-and-divorce.adoc,153,"The case is heard __“according to *law*”__ (Esther 1:15), and the concern of the court is not jealousy but obedience across the whole realm: __“this deed of the queen shall come abroad unto *all women*, so that they shall *despise their husbands*”__ (Esther 1:17)."
books/symbolic-language/11-marriage-and-divorce.adoc,165,"One formula, one lesson: the King’s wife must obey, or the estate passes — not because the King is petty, but because the whole land learns from the queen; the covenant marriage is public, and its breach teaches rebellion to every house in the empire."
books/symbolic-language/11-marriage-and-divorce.adoc,202,"The wife earned the stoning; the Husband takes the stroke; and rising, He is free to wed her again — not under the old contract she shattered, but new."
books/symbolic-language/11-marriage-and-divorce.adoc,205,"That is why Hosea, God’s sign-and-similitude marriage, must not only endure his wife’s adultery but _buy her back_ — __“So I *bought her* to me for fifteen pieces of silver”__ (Hosea 3:2) — and why the reunion is a fresh betrothal in the vocabulary this book keeps finding at the center: __“I will *betroth thee* unto me for ever; yea, I will betroth thee unto me in sym:sym-righteousness[righteousness], and in sym:sym-judgment[judgment]… and thou shalt sym:sym-knowing[know] the LORD”__ (Hosea 2:19-20)."
books/symbolic-language/12-wings.adoc,13,"The Gospels are precise about what she touched — not the cloak, but its __“border”__ (Luke 8:44), its __“hem”__ (Matthew 9:20)."
books/symbolic-language/12-wings.adoc,45,"So the fringe on the wing is not an aid to reflection; it is a trigger for obedience — __“not a forgetful hearer, but a *doer* of the work”__ (James 1:25)."
books/symbolic-language/12-wings.adoc,102,"Even the burning ones wear the covering: the seraphim, six-winged, use four of their wings not to fly but to cover themselves before the fire (Isaiah 6:2)."
books/symbolic-language/13-orphans-widows-and-the-fatherless.adoc,33,"The widow and the fatherless are not only the poor down the street; they are the covenant people themselves, severed from the God who was their Husband and their Father."
books/symbolic-language/13-orphans-widows-and-the-fatherless.adoc,165,"Scripture makes bread the word of God — __“man doth not live by sym:sym-bread[bread] only, but by every word that proceedeth out of the mouth of the LORD”__ (Deuteronomy 8:3) — and the sym:sym-garment[garment], as the sym:sym-marriage[marriage] chapter showed, is the righteous deeds of the saints — deeds He ordains and grants her to do (Ephesians 2:10; Revelation 19:8)."
books/symbolic-language/14-the-remnant.adoc,142,"The gleaning law itself encodes the ratio — not in a number, but in a shape."
books/symbolic-language/14-the-remnant.adoc,160,The law does not merely say a remnant will be left; the ratio is built into the field.
books/symbolic-language/14-the-remnant.adoc,262,"The prophetic picture of the kingdom is __“they shall sit every man under his vine and under his fig tree”__ (Micah 4:4) — and that is not a poet's flourish but a quotation, for the phrase first describes a real population at a real date: __“Judah and Israel dwelt safely, every man under his vine and under his fig tree… all the days of Solomon”__ (1 Kings 4:25)."
books/symbolic-language/14-the-remnant.adoc,350,The gleaning law does not only fix how many survive the harvest.
books/symbolic-language/15-heaven-and-hell.adoc,35,"Isaiah states the same structure as government: __“The heaven is my *throne*, and the earth is my *footstool*”__ (Isaiah 66:1) — throne and footstool are not scenery but offices, the seat of rule and the territory under it."
books/symbolic-language/15-heaven-and-hell.adoc,100,"When Jesus warns of __“hell fire,”__ this is His word — and He keeps it strictly apart from hades: the gates of *hades* shall not prevail (Matthew 16:18), but it is in *Gehenna* that God is __“able to *destroy* both soul and body”__ (Matthew 10:28)."
books/symbolic-language/15-heaven-and-hell.adoc,115,"There is no chamber constructed for the wicked in some corner of creation; there is the unshielded presence of the Holy One, and the question Scripture presses is not *where you are sent* but *what you are wearing when you meet Him*."
books/symbolic-language/15-heaven-and-hell.adoc,177,"Permanent, final, past atonement; not endless dying, but a death that holds."
books/symbolic-language/15-heaven-and-hell.adoc,187,"The rich man and Lazarus (Luke 16) is the fourth parable in a chain of parables, told in the furniture of the day, and its own spoken point is not the architecture of the afterlife but the sufficiency of the Scriptures: __“They have *Moses and the prophets*; let them hear them… If they hear not Moses and the prophets, neither will they be persuaded, though one rose from the dead”__ (Luke 16:29, 31)."
books/symbolic-language/15x-weeping-and-gnashing.adoc,37,The gnashing is the wicked man's answer to *that* — and its end is not an endless scream but a dissolution: __“the desire of the wicked shall perish.”__
books/symbolic-language/16-shadow.adoc,55,__“The LORD is thy keeper: the LORD is thy *shade* upon thy right hand”__ (Psalm 121:5) — the LORD does not merely cast a shadow; He _is_ the shade.
books/symbolic-language/17-justice-and-judgment.adoc,40,"Justice is righteousness under a second English name — not an abstraction to be argued about but the commandments done, toward God and toward one’s neighbor."
books/symbolic-language/17-justice-and-judgment.adoc,82,The man who renders the weak their due is not merely imitating God’s character; he is inside it.
books/symbolic-language/18-liberty.adoc,133,"And Jesus set the two figures side by side in the same breath as His teaching on freedom: __“the servant abideth not in the house for ever: but the *Son abideth ever*”__ (John 8:35) — the Son is the one who stays in the Father’s house by nature, and the freed slave who loves his Master stays by choice."
books/symbolic-language/19-the-fool-and-the-wise.adoc,34,"Not “there is no God” as a theory, but as a way of living — as though no one were watching and nothing were owed."
books/symbolic-language/19-the-fool-and-the-wise.adoc,36,"And the Lord Himself draws the line — not between those who hear and those who don’t, but between two men who hear the very same words:"
books/symbolic-language/19-the-fool-and-the-wise.adoc,46,"Wisdom, then, is not cleverness but obedience: __“a good sym:sym-understanding[understanding] have all they that do his commandments”__ (Psalm 111:10); __“keep therefore and do them; for this is your wisdom”__ (Deuteronomy 4:6)."
books/symbolic-language/19-the-fool-and-the-wise.adoc,76,"What divides them is not their purity as a literal virgin in the modern sense, but their store:"
books/symbolic-language/19-the-fool-and-the-wise.adoc,145,"On the olive-nation's own hill stood the press, and there the Lord was crushed under the weight of death — His sweat __“as it were great drops of blood”__ (Luke 22:44) — and gave up the oil of a perfect obedience: __“not my will, but thine, be done”__ (Luke 22:42)."
books/symbolic-language/19-the-fool-and-the-wise.adoc,151,"Between the fool and the wise there is finally one question — the question this whole book keeps asking: not what you heard, but whether you did it."
books/symbolic-language/20-light-and-darkness.adoc,58,"Which tells you at once what darkness is — not ignorance, but concealment."
books/symbolic-language/21-worship.adoc,130,God does not weigh worship by its sincerity but by whose commandments shape it.
books/symbolic-language/22-the-fear-of-the-lord.adoc,25,"=== Not Terror, but Obedience"
books/symbolic-language/23-path-to-salvation.adoc,13,"We are not saved by our works, but we can be condemned by willful, unrepentant breaking of his commands and denying their truth."
books/symbolic-language/23-path-to-salvation.adoc,15,"Jesus did not come to destroy the Law or the Prophets but to *fulfill* them — link:/books/symbolic-language/gospel/[to fill them full], to bring them to fullness (Matthew 5:17).footnote:fn32fulfil[Derived in the link:/books/symbolic-language/gospel/[Gospel] chapter.]"
books/symbolic-language/24-what-is-the-point.adoc,109,"Now mark what kind of case that is: not a point at all, but a letter — a letter the promise itself guards."
books/symbolic-language/28-sun-moon-and-stars.adoc,26,"From the first page of Scripture the lights of heaven are given a job, and it is not merely to glow."
books/symbolic-language/28-sun-moon-and-stars.adoc,107,"Mark where the verse sets the perfection: not on the Father alone, but on what stands *with* Him — the Greek is _par’ hō_, *beside whom*."
books/symbolic-language/28-sun-moon-and-stars.adoc,219,"The sign is _nes_ — not a mere signal but a *standard*, raised high for every eye, the ensign-word of the __“root of Jesse”__ (Isaiah 11:10)."
books/symbolic-language/29-lucifers-declared-plan.adoc,66,"The word under __“throne”__ is _kisse’_ — and the last chapter opened this door: the Hebrew word for the *full moon*, _keseh_, is spelled with the very same consonants; not a resemblance, but letter-identity in the text itself."
books/symbolic-language/29-lucifers-declared-plan.adoc,88,"__“Sides”__ is _yarketh_ — not a side but the *farthest recess* of a thing: the innermost hold of Jonah's ship (Jonah 1:5), the deepest __“sides of the cave”__ where David hid (1 Samuel 24:3)."
books/symbolic-language/30-the-pearl.adoc,149,"It is *one*: the merchant found __“one pearl of great price”__ and stopped collecting, for the kingdom is not a collection but one bride, bought whole."
books/symbolic-language/34-the-fall-of-babylon.adoc,21,"The Exodus is not only history; it is the similitude of the Fall of Babylon — scene for scene, as Jonah was scene for scene the Passion."
books/symbolic-language/34-the-fall-of-babylon.adoc,49,The priesthood gone serpentine does not merely join the dragons of the nations; it *swallows* them — it out-devours the devourers and rides what remains.
books/symbolic-language/34-the-fall-of-babylon.adoc,73,The dragon fells a third of heaven's host not with claws but with its tail — by the prophet that teaches lies — for __“the leaders of this people cause them to err; and they that are led of them are *destroyed*”__ (Isaiah 9:16).
books/symbolic-language/35-daniel-unsealed.adoc,123,Messiah does not merely suffer the verb; He performs it: Messiah shall *cut a covenant*.
books/symbolic-language/36-clouds.adoc,95,"When the vineyard is judged, God grounds the clouds first: __“I will also *command the clouds* that they *rain no rain* upon it”__ (Isaiah 5:6) — and Amos names the resulting drought exactly: __“not a famine of bread, nor a thirst for water, but *of hearing the words of the LORD*”__ (Amos 8:11)."
books/symbolic-language/37-the-moment.adoc,62,"Three times in one chapter, the mourners themselves keep saying the word — because the thing that stuns them most is not that Babylon fell, but how fast."
books/symbolic-language/37-the-moment.adoc,93,"The shortness of the word is not only a threat, and Scripture will not let the reader forget it."
books/symbolic-language/37-the-moment.adoc,124,"The vision that seems slow is not therefore false: __“the vision is yet for an *appointed time*, but at the end it shall speak, and not lie: though it tarry, *wait for it*; because it will *surely come*, it will not tarry”__ (Habakkuk 2:3)."
books/symbolic-language/38-mountain.adoc,254,"The contrast is the whole point: AI does not interpret Scripture for us, and it must not be trusted to — but the meaning is already there, recoverable by anyone, or anything, willing to follow the method rather than lean on inherited opinion."
books/symbolic-language/38-mountain.adoc,255,What forces the right answer is not the cleverness of the reader but the discipline of the process.
books/symbolic-language/39-sea-and-waters.adoc,208,The flood is not only the enemy’s weapon; it is also how the enemy ends.
books/symbolic-language/39-sea-and-waters.adoc,428,"The first two readings are not false, but they stop short."
books/symbolic-language/39-sea-and-waters.adoc,622,"In the new creation there is no more sea — and so no more islands: not because the set-apart vanish, but because nothing remains to be set apart from."
books/symbolic-language/39-sea-and-waters.adoc,640,"Mountain and sea are not two unrelated pictures but two halves of one map: the governing and the governed, the rule and the ruled."
books/symbolic-language/40-trees.adoc,118,"And these come up not from the garden but __“from the sym:sym-sea[sea]”__ (Daniel 7:3) — the same peoples, seen now as predators rising from the restless deep."
books/symbolic-language/40-trees.adoc,175,"We have already seen that the law was not abolished but filled full, and that the covenant-name is everlasting — and the food law is part of that law; here it stands as the very ground of the verdict."
books/symbolic-language/41-grass.adoc,26,Grass is not only the picture of frailty; it is also the field God farms.
books/symbolic-language/41-grass.adoc,44,"So when Jesus says the same, He is not inventing an image but citing one:"
books/symbolic-language/41-grass.adoc,64,"The *tares* are not the wheat's own husk but a weed sown among it — darnel, which *mimics* the wheat so closely that the two cannot be told apart until the ear forms."
books/symbolic-language/41-grass.adoc,94,"Grain ground and baked becomes bread, and __“man doth not live by sym:sym-bread[bread] only, but by every word that proceedeth out of the mouth of the LORD”__ (Deuteronomy 8:3) — the bread is the word."
books/symbolic-language/42-garments.adoc,16,"He was not merely at a loss for words; he was muzzled — silenced the way a power greater than his own silences what it overrules, with no defense in his mouth because he had none on his back."
books/symbolic-language/42-garments.adoc,91,"The rag is blood-stained — fouled by the very iniquities the verse goes on to name — not because doing right is wrong, but because the doer is unclean."
books/symbolic-language/42-garments.adoc,112,"Jesus therefore stooped to wash them: not a second baptism, but the daily cleansing of the walk that keeps the garment clean."
books/symbolic-language/42-garments.adoc,151,"To be without the garment is to be naked, and nakedness, from the garden onward, is not nudity but exposure — the covenant covering gone, the shame seen."
books/symbolic-language/42-garments.adoc,178,"The armor is God's own war-dress, put on because no man could — which is what __“the whole armour *of God*”__ (Ephesians 6:11) says when it is allowed to mean it: not armor from His stores, but the armor He wears, lent to the soldier."
books/symbolic-language/42-garments.adoc,210,And how a covenant binds not one wearer but a whole people together is the next symbol: the bow.
books/symbolic-language/43-the-bow.adoc,27,"The very first bow-covenant, then, is struck not with one tribe but with _every nation on earth_ — a universal covenant of sym:sym-peace[peace], set over all the families of the ground."
books/symbolic-language/43-the-bow.adoc,50,He conquers not by the shot but by the bow itself — he wins the nations by _covenant_.
books/symbolic-language/43-the-bow.adoc,72,So it was with the first kingdom built against heaven: it was founded not on a weapon but on a name.
books/symbolic-language/43-the-bow.adoc,148,"Not _make us_ a name but _I will make thy_ name — a covenant given, not grasped; and where Babel’s name was built to keep one people from scattering, Abraham’s name is given to bless _all the families of the earth_."
books/symbolic-language/44-jacob-israel-and-ephraim.adoc,61,"The second name is what God does with such a heart. _Israel_ — to _prevail_ with _God_ — is given not for bloodline but for what happened in the dark: he held on, __“and prevailed.”__"
books/symbolic-language/44-jacob-israel-and-ephraim.adoc,117,"The Jew is __“one inwardly”__ (Romans 2:28-29) — and Paul's definition carries Judah's name inside it: Judah means *praise* — __“Now will I *praise* the LORD: therefore she called his name Judah”__ (Genesis 29:35) — and the verse lands exactly there: the Jew inwardly is he __“whose *praise* is not of men, but of God.”__"
books/symbolic-language/44-jacob-israel-and-ephraim.adoc,177,"Peter says it of the gathered church: __“which in time past were not a people, but are now the people of God”__ (1 Peter 2:10)."
books/symbolic-language/44-jacob-israel-and-ephraim.adoc,182,"Revelation seals the reading: the two witnesses __“are the *two olive trees*, and the *two candlesticks*”__ (Revelation 11:4) — and a candlestick, by the book's own key, is an assembly (Revelation 1:20): not two men, but two covenant peoples bearing witness."
books/symbolic-language/47-the-other-white-meat.adoc,26,"Moses' _because_ is the definition: the visible sign is not merely insufficient — worn without the substance, it is the ground of the indictment."
books/symbolic-language/47-the-other-white-meat.adoc,35,"Paul writes the beast's definition into covenant standing itself: __“he is not a Jew, which is one *outwardly*… But he is a Jew, which is one *inwardly*; and circumcision is that of the heart”__ (Romans 2:28-29)."
books/symbolic-language/47-the-other-white-meat.adoc,117,"The Old Testament's last swine verses aim inward — not at Rome, but at covenant men wearing the beast's structure."
books/symbolic-language/47-the-other-white-meat.adoc,157,"God says of the prophets, __“I have multiplied visions, and used *similitudes*, by the ministry of the prophets”__ (Hosea 12:10) — and the Signs & Similitudes chapter showed what that ministry cost: Hosea's marriage was the similitude, Ezekiel's siege-brick was the similitude; the prophets did not merely speak the pictures, they *lived* them, by obedience."
books/symbolic-language/47-the-other-white-meat.adoc,171,"The theater is not the reason the command binds — it binds because God spoke it — but it is the reason revealed: obedience is a role in the play, and the prophets teach us to want the part."
books/symbolic-language/48-glossary.adoc,163,"[[sym-fornication]]Fornication, whoredom:: Spiritual unfaithfulness — breaking covenant with God to go after other gods and kingdoms; not merely the physical sin. The out-of-covenant union is itself the whoredom. +"
books/symbolic-language/48-glossary.adoc,246,"[[sym-jew]]Jew:: In covenant contexts, one in the covenant — “he is a Jew, which is one *inwardly*,” while some “say they are Jews, and are not.” The name is Judah's, and Judah means praise — “Now will I praise the LORD” — so Paul's definition lands on the name itself: the Jew inwardly is he “whose praise is not of men, but of God.” The word also walks in plain dress, ethnic and religious; context decides which coat it wears. +"
books/symbolic-language/48-glossary.adoc,472,"[[sym-week]]Week:: A seven — _shavua_, a unit of sevens, and not only of days: Laban decodes it in the text — “Fulfil her *week*… yet seven other *years*” — and Jacob serves seven years for the week named; the jubilee is counted as “seven sabbaths of years,” and Daniel’s seventy weeks are sevens of years — unpointed, seventy sevens that open into seventy jubilees. The Feast of Weeks runs the same count in days — seven sevens to the fiftieth — the jubilee modeled a day for a sym:sym-year[year]. +"
books/symbolic-language/49-about-the-author.adoc,14,"Then came the realization that we do not wrestle against flesh and blood, but against powers in high places — and no protocol reforms those."
