file,line,match,text
books/symbolic-language/24-path-to-salvation.adoc,38,Now watch,Now watch what the formula leaves out.
books/symbolic-language/25-what-is-the-point.adoc,48,and mark,Now hear the writer of Hebrews quote that same verse — and mark whose mouth he puts it in:
books/symbolic-language/31-the-pearl.adoc,327,Weigh them,Weigh them all; the reading asks no favors.
books/symbolic-language/32-the-sabbath.adoc,74,Read the commandment again,"Read the commandment again with the unit in view, and notice that it legislates all seven days:"
books/symbolic-language/32-the-sabbath.adoc,74,notice that,"Read the commandment again with the unit in view, and notice that it legislates all seven days:"
books/symbolic-language/33-time-tested-tradition.adoc,27,weigh the,"Before weighing the evidence, weigh the witnesses, for Scripture itself commands it."
books/symbolic-language/34-the-four-winds.adoc,116,And mark,"And mark who waits at the corners: on the garment, the corner is where the law hangs its reminder — __“that ye may look upon it, and *remember all the commandments* of the LORD”__ (Numbers 15:39) — and at the earth's four wings wait __“the remnant… which *keep the commandments* of God”__ (Revelation 12:17)."
books/symbolic-language/34-the-four-winds.adoc,131,And mark,And mark where the scene stands: after the sixth seal is opened (Revelation 6:12) — the riders commissioned at the first four seals are still reined in at the four corners when the sixth is broken.
books/symbolic-language/35-the-fall-of-babylon.adoc,91,And mark,And mark what an almond *is*: a fruit that is itself a sym:sym-seed[seed] — and __“the seed is the *word of God*”__ (Luke 8:11).
books/symbolic-language/39-mountain.adoc,159,Now consider,Now consider this poetic picture from Joel:
books/symbolic-language/40-sea-and-waters.adoc,36,Notice that,Notice that this is the very same chapter that defined the mountain (Revelation 17:9-10).
books/symbolic-language/47-butter.adoc,63,And mark,"And mark the third symbol: the hidden thing is *swords*, and the sword is the word — __“the sword of the Spirit, which is the *word of God*”__ (Ephesians 6:17)."
books/symbolic-language/47-butter.adoc,84,and mark,"Taste what is set before you, and mark whether it was churned — or merely smoothed."
books/symbolic-language/48-the-other-white-meat.adoc,60,and mark,"And __“lest they trample”__ reads __“lest they *chew* them”__ — and mark that verb: _karsam_ stands exactly *once* in the whole Hebrew Bible, at the boar in Asaph's vine."
books/symbolic-language/49-glossary.adoc,70,weigh the,"[[sym-coin]]Coin verdict:novel[]:: The stamped image — a person as the owner's minted image-bearer: dug from the sym:sym-field[field], refined in the fire, struck with the sym:sym-name[NAME]; priced by the law, ransomed at a flat half-shekel when counted, lost and sought by sym:sym-lamp[lamplight]. Man's mint valued the Shepherd at slave-damages; God's scales weigh the sym:sym-widow[widow]'s whole living above all abundance. +"
