issue_id,file,start_line,end_line,chars,sentences,lines,excerpt
,books/symbolic-language/03-signs-and-similitudes.adoc,87,92,1051,6,6,"Moses himself gives the tests of a valid sign, and there are two. The first is fulfillment: __“if the thing follow not, nor come to pass, that is the thing which the LORD hath not spoken”__ (Deuteronomy 18:21-22) — a sign that fails is n..."
,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,264,267,1047,4,4,"Grade the common teaching against that, for this parable is almost always preached inverted: God — or salvation — is the treasure, and we the fortunate finder who gladly gives up everything. Test it: the buyer __“selleth *all* that he ha..."
,books/symbolic-language/11-marriage-and-divorce.adoc,141,146,1037,5,6,"Paul’s judgment runs the opposite direction from Ezra’s: __“if she be pleased to dwell with him, let him *not* put her away… and the unbelieving wife is *sanctified* by the husband”__ (1 Corinthians 7:12, 14). Paul writes the rule in bot..."
,books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,128,130,1035,3,3,"The highway is the covenant road — raised, holy, and safe — and every clause of the promise is built of symbols we can now read. No lion, no ravenous beast: the beast is a defined symbol — a kingdom of the world, __“the fourth sym:sym-be..."
,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,326,330,1022,5,5,"The scene has a second act, and it grades the hearers. The next day the same crowd hunts Him down, and He tells them what they missed: __“Ye seek me, not because ye saw the sym:sym-sign[signs], but because ye did *eat of the loaves*, and..."
,books/symbolic-language/47-the-other-white-meat.adoc,84,87,1021,4,4,"Graves, mountains, swine: the prophecy staged as an exorcism. The mountains are not scenery: a sym:sym-mountain[mountain] is a kingdom, and the herd feeds hard against the kingdoms — the unclean nation grazing on the powers of the age —..."
,books/symbolic-language/15-heaven-and-hell.adoc,41,45,1009,5,5,"The direction of movement between the two domains is the Bible's quiet grammar. God's motion is downward: rain from heaven's treasure (Deuteronomy 28:12), fire on Sodom, the LORD descending on Sinai (Exodus 34:5), the Spirit descending a..."
,books/symbolic-language/01-introduction.adoc,83,86,1006,4,4,"Read the table from the top down and it is a safety record: 3 of every 4 definitions land on, or sharpen, what careful readers have always held — the floor proving this method is no private invention, for scripture compared with scriptur..."
,books/symbolic-language/10-the-coin.adoc,160,166,1006,6,7,"Now the fish gives up its riddle. The redemption sign's third address is the *mouth* — __“that the LORD's law may be in thy mouth”__ — and the seal-texts keep the word there: __“the word is very nigh unto thee, *in thy mouth*, and in thy..."
,books/symbolic-language/47-the-other-white-meat.adoc,131,136,1004,6,6,"Now set Isaiah's swine-eaters beside a phrase of Revelation. Twice the risen Lord speaks of __“them which *say they are Jews, and are not*, but are the *synagogue of Satan*”__ (Revelation 2:9; 3:9) — the assembly that claims the sym:sym-..."
,books/symbolic-language/18-liberty.adoc,116,119,1003,4,4,"Offered the open sky, the servant chooses the house — for sym:sym-love[love], which Scripture defines as keeping the master’s commandments — and mark where and how the choice is sealed: his *ear*, at the *door post*. The ear is the organ..."
,books/symbolic-language/37-the-moment.adoc,106,110,1000,5,5,"Even the devil's temptation borrows the word, and gives away more than he intends by doing so. He takes Jesus __“up into an *exceeding high mountain*”__ (Matthew 4:8) and shows Him __“all the kingdoms of the world *in a moment of time*”_..."
,books/symbolic-language/47-the-other-white-meat.adoc,166,171,990,7,6,"His protest is the measure of the man: __“Ah Lord GOD! behold, my soul hath *not been polluted*: for from my youth up even till now have I not eaten of that which dieth of itself, or is torn in pieces; neither came there *abominable fles..."
,books/symbolic-language/04-sign-of-jonah.adoc,104,110,989,7,7,"Now the storm, with the sea defined. Jonah flees, the LORD hurls a great wind onto the sea, the ship labors — and the prophet is asleep in the sides of the ship (Jonah 1:5). The shipmaster wakes him: __“What meanest thou, O sleeper? aris..."
,books/symbolic-language/06-knowing-faith-love-and-belief.adoc,151,154,986,6,4,"Put the symbols together and the Shepherd says it whole. __“My sym:sym-sheep[sheep] hear my sym:sym-voice[voice]… and they follow me”__ (John 10:27): the sheep are His people, the voice is His words, and to know that voice is to follow i..."
,books/symbolic-language/39-sea-and-waters.adoc,594,598,986,5,5,"God summons them as those who answer to Him: __“Keep silence before me, O sym:sym-island[islands]… let us come near together to judgment”__ (Isaiah 41:1); __“Listen, O sym:sym-island[isles], unto me”__ (Isaiah 49:1). They wait for His la..."
,books/symbolic-language/47-the-other-white-meat.adoc,92,97,986,7,6,The prodigal lived it from the other side. In the far country the younger son __“joined himself to a citizen of that country; and he sent him into his fields to feed swine. And he would fain have filled his belly with the husks that the...
,books/symbolic-language/30-the-pearl.adoc,100,103,976,4,4,"__“She worketh willingly with her palms… her palms hold fast the circuit… She spreadeth out her palm to the poor”__ (31:13, 19, 20). The poem says *palm* — _kaph_ — where it could have said hand, and keeps the two words distinct inside s..."
,books/symbolic-language/34-the-fall-of-babylon.adoc,45,50,965,8,6,"The contest opened, both times, with one prop — a similitude acted out before a word was argued. __“What is that in thine hand? And he said, A rod. And he said, Cast it on the ground. And he cast it on the ground, and it became a *serpen..."
,books/symbolic-language/15-heaven-and-hell.adoc,137,142,955,6,6,"If the fire is God, what does God's own law say His punishments are like? Every principle the law lays down points one direction. Punishment is proportional: __“eye for eye, tooth for tooth”__ (Exodus 21:24) — the penalty is measured by..."
,books/symbolic-language/28-sun-moon-and-stars.adoc,218,221,955,6,4,"Every choice in that rendering is the Hebrew's own.footnote:hebrevinterlinear[The Hebrew Revelation — the Cochin manuscript tradition, _Ele Ha-Sodot_, c. 1700, which also carries the Gospels, James, and Jude — is the second witness this..."
,books/symbolic-language/33-the-four-winds.adoc,113,117,943,5,5,"The four-going-out from the presence is older than the chariots. The Spirit moved on the face of the waters at creation (Genesis 1:2), and the water tells the wind's story: __“a river went out of Eden to water the garden; and from thence..."
,books/symbolic-language/28-sun-moon-and-stars.adoc,120,123,935,4,4,"Scripture has already named the *good gift* the Father of lights sends down from above. On the fourth day, __“God *gave* them in the firmament of the heaven”__ — the verb is _natan_, *to give*, under the King James’ __“set”__footnote:gen..."
,books/symbolic-language/03-signs-and-similitudes.adoc,115,119,933,5,5,"The interpretation is handed down in the same breath as the command. His children were message-named like Isaiah’s: _Lo-ruhamah_, Not-pitied; _Lo-ammi_, Not-my-people (Hosea 1:6, 9). And when the wife was lost to her adulteries, the comm..."
,books/symbolic-language/15-heaven-and-hell.adoc,113,117,925,5,5,The verse does not say God *uses* fire; it says God *is* fire — and the New Testament repeats it without softening: __“for our God is a consuming fire”__ (Hebrews 12:29). The unquenchable fire cannot be quenched for the same reason God c...
,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,118,122,923,5,5,"Even the stony ground was on record, for the heart God promises to replace is __“the *stony* heart”__ (Ezekiel 36:26). And why is the exchange a heart of *flesh* for a heart of *stone*? Because flesh is ground: _adam_ was formed __“of th..."
,books/symbolic-language/19-the-fool-and-the-wise.adoc,83,87,923,5,5,"The Hebrew Matthew names the two natures outright: five were _lazy fools_, and five _diligent and wise_ — laziness is precisely the fool's disease, hearing without rising to do. They are not careless about a detail; they are foolish _wom..."
,books/symbolic-language/14-the-remnant.adoc,253,256,920,4,4,"Josephus preserves the only headcount of any sect of that age: the Pharisees — the most visibly religious men in Israel, broad phylacteries and all — numbered __“about six thousand”__ out of a Jewish population of perhaps a million: bare..."
,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,319,322,912,4,4,"Five loaves: the five books of the Law, the sym:sym-bread[bread] of the word — and sym:sym-barley[barley], the humble firstfruits grain Scripture itself pins to Israel: when the barley loaf tumbled into Midian’s camp, the watchman decode..."
,books/symbolic-language/27-behold-the-hand.adoc,18,22,908,5,5,"This is not conjecture; the names are Bible words. _Vav_ means hook or peg, and Scripture spends the word exactly thirteen times — every one of them a hook of the tabernacle: __“their *hooks* shall be of gold”__ (Exodus 26:32), the pegs..."
,books/symbolic-language/15-heaven-and-hell.adoc,126,132,907,7,7,"This is why Scripture never once describes salvation as escape *from* the fire, but as passage *through* it. __“He himself shall be saved; yet so as *by fire*”__ (1 Corinthians 3:15). __“We went *through fire and through water*: but thou..."
,books/symbolic-language/15-heaven-and-hell.adoc,153,160,895,8,8,The doctrine of endless torment survives on a single hidden premise: that the soul cannot die — that God *must* keep the wicked in existence because souls are indestructible. Scripture denies the premise in plain words. Adam did not rece...
,books/symbolic-language/44-jacob-israel-and-ephraim.adoc,179,182,895,4,4,"The two sticks have a second portrait, painted in the same orchard. The olive-tree name was given jointly — __“The LORD called thy name, A green sym:sym-olive[olive] tree, fair, and of goodly sym:sym-fruit[fruit]”__ — and the next verse..."
,books/symbolic-language/42-garments.adoc,94,97,891,5,4,"The answer to a dirty garment is not to take it off; it is to wash it. __“Wash you, make you clean,”__ God says in the same prophet, and then, __“though your sym:sym-sin[sins] be as sym:sym-scarlet[scarlet], they shall be as white as sno..."
,books/symbolic-language/09-the-seal.adoc,79,82,886,4,4,"Every element of the sixth seal is here: the forehead mark, set before the destroyers move; the destroyers forbidden to touch its bearers; and the criterion written into the commission — the marked are the ones grieving over lawbreaking...."
,books/symbolic-language/09-the-seal.adoc,62,65,885,4,4,"The sign on the hand and the memorial on the forehead are defined out loud: the law in you. __“Thou shalt bind them for a sign upon thine hand, and they shall be as frontlets between thine eyes”__ (Deuteronomy 6:8) — the commandments at..."
,books/symbolic-language/01-introduction.adoc,224,227,882,4,4,The double reading is no parlor trick; it has teeth for anyone who intends to obey. The same three letters sit in a standing command — __“ye eat neither *fat* nor blood”__ (Leviticus 3:17) — so which food a verse names can decide what a...
,books/symbolic-language/22-the-fear-of-the-lord.adoc,34,37,881,4,4,"To fear God is to keep His commandments — the two are set down as one requirement; and again, __“the LORD commanded us to do all these statutes, to fear the LORD our God”__ (Deuteronomy 6:24). It shows itself as a turning from evil: __“t..."
,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,63,66,878,4,4,"Next the ground. Jeremiah had already preached this parable as a command: __“Break up your *fallow ground*, and sow not among sym:sym-bramble[thorns]”__ — and his very next sentence names the soil: __“take away the sym:sym-foreskin[fores..."
,books/symbolic-language/11-marriage-and-divorce.adoc,161,165,877,5,5,"Mark that sentence, because it is the Bible’s standing formula for a deposed covenant partner. Samuel to Saul: __“The LORD hath rent the kingdom of Israel from thee this day, and hath given it to a neighbour of thine, *that is better tha..."
,books/symbolic-language/29-lucifers-declared-plan.adoc,49,52,869,3,4,"The second phrase is _ben shachar_, and neither word is what it seems. _Ben_ — __“son”__ — in Hebrew idiom means the product of a thing, what is built from it and characterized by it: the __“sons of Belial”__ are men characterized by wor..."
,books/symbolic-language/36-clouds.adoc,128,131,869,4,4,"The cloud that shadows Zion afterward is the same vehicle at rest — __“a cloud and smoke by day… a tabernacle for a sym:sym-shadow[shadow] in the daytime from the heat, and for a *place of refuge*”__ (Isaiah 4:5-6), the pillar standing o..."
,books/symbolic-language/15-heaven-and-hell.adoc,119,123,868,5,5,"The same fire produces three different outcomes. The bush __“burned with fire, and the bush was *not consumed*”__ (Exodus 3:2) — sustained, because God willed to dwell in it. The furnace of Babylon, heated seven times, killed the soldier..."
,books/symbolic-language/18-liberty.adoc,103,105,867,3,3,"__“The perfect law of liberty”__ — to modern ears a contradiction, to Scripture a plain description: the law that contains the jubilee, frees the slave, and returns every man to his inheritance is liberty’s own constitution, and we will..."
,books/symbolic-language/14-the-remnant.adoc,113,116,861,4,4,The gleaning law encodes the ratio in a shape. The corners of the sym:sym-field[field] may not be wholly reaped; they are left standing for the sym:sym-poor[poor] and the sym:sym-stranger[stranger] (Leviticus 19:9-10) — and __“corners”__...
,books/symbolic-language/42-garments.adoc,151,155,861,5,5,"To be without the garment is to be naked, and nakedness, from the garden onward, is not nudity but exposure — the covenant covering gone, the shame seen. Laodicea is __“wretched, and miserable, and sym:sym-poor[poor], and blind, and nake..."
,books/symbolic-language/47-the-other-white-meat.adoc,117,121,861,4,5,"The Old Testament's last swine verses aim inward — not at Rome, but at covenant men wearing the beast's structure. Isaiah's indictment builds across two chapters: they sacrifice in gardens, burn incense on altars of brick, __“remain amon..."
,books/symbolic-language/04-sign-of-jonah.adoc,179,182,856,4,4,"Yet she did not act alone; she rode the beast. Rome is the *iron* of Nebuchadnezzar’s image — Daniel named the second and third kingdoms outright, Medo-Persia and Greece (Daniel 8:20-21), and the iron fourth that __“breaketh in pieces”__..."
,books/symbolic-language/03-signs-and-similitudes.adoc,20,23,855,4,4,"The King James’ __“ensamples”__ is the Greek _typos_ — types, patterns struck in advance — and mark the two verbs: the things __“happened”__ as types before they were __“written”__ as types (so too 1 Corinthians 10:6). Paul is not decora..."
,books/symbolic-language/47-the-other-white-meat.adoc,146,151,853,6,6,"One vision guards this symbol from both abuses. When God opened the door to the nations He showed Peter a sheet of __“all manner of fourfooted beasts”__ with the command, __“Rise, Peter; kill, and eat”__ — and Peter gives the vision's ow..."
,books/symbolic-language/37-the-moment.adoc,31,33,851,3,3,"God tells Moses what would happen if He walked with a stiff-necked people even one stage of the journey: __“I will come up into the midst of thee in a moment, and consume thee”__ (Exodus 33:5). When Korah’s company rose up against Moses,..."
,books/symbolic-language/15-heaven-and-hell.adoc,77,82,850,6,6,Sheol is not where the wicked go; it is where *everyone* goes. Jacob expects it: __“I will go down into the *grave* unto my son mourning”__ (Genesis 37:35). Job prays for it: __“O that thou wouldest hide me in the *grave*”__ (Job 14:13)....
,books/symbolic-language/08-the-name.adoc,284,286,848,3,3,"To take the husband’s name is to come under the husband’s wing — and the wing’s corners carry the sym:sym-tzitzit[tassels], bound there so that the wearer remembers all the commandments of the LORD and does them (Numbers 15:38-39). The c..."
,books/symbolic-language/41-grass.adoc,105,108,847,4,4,"Set it together and the parables come clear. When Jesus told of a sower, of wheat among tares, of a harvest and a burning, He was not speaking a new tongue; He was speaking the oldest one. A hearer who knew that flesh is grass, that the..."
,books/symbolic-language/21-worship.adoc,132,134,845,3,3,"His terms include His calendar. Throughout Scripture, worship is a thing men __“go up”__ to do at appointed times: Elkanah __“went up out of his city *yearly* to worship and to sacrifice unto the LORD of hosts in Shiloh”__ (1 Samuel 1:3)..."
,books/symbolic-language/01-introduction.adoc,20,22,835,3,3,"He did it to fulfill the Scriptures, which prophesied that He would speak in parables. When he spoke publicly he always used parables — __“without a parable spake he not unto them”__ (Matthew 13:34) — and only with his closest disciples..."
,books/symbolic-language/03-signs-and-similitudes.adoc,80,82,831,3,3,"There is a second family of signs, and it does not point forward at all: it points to a standing covenant. The sym:sym-bow[bow] in the cloud is __“the token of the covenant”__ (Genesis 9:12-13 — a chapter of its own ahead); circumcision..."
,books/symbolic-language/12-wings.adoc,42,45,830,4,4,"Be precise about what __“remember”__ asks, for in Scripture remembering is not recalling; it is *doing*. The Torah defines forgetting as disobedience outright — __“Beware that thou *forget* not the LORD thy God, *in not keeping* his comm..."
,books/symbolic-language/40-trees.adoc,88,90,829,3,3,"The same parable fixes what the cedar is — and is not: the __“high cedar”__ of that chapter is the royal house of David itself, and God promises to crop __“of the highest branch”__ a tender twig and plant it __“in the sym:sym-mountain[mo..."
,books/symbolic-language/28-sun-moon-and-stars.adoc,160,163,828,5,4,"The Greek under __“comprehended”__ is _katalaben_ — to *seize, to take hold of* — and it carries two readings, both true. The Hebrew text of John reads the taking-hold as power: the gloom __“does not have *power over* it”__ — the darknes..."
,books/symbolic-language/41-grass.adoc,58,61,827,4,4,"Two different partings happen at the harvest, and the whole vocabulary is Old Testament. The first is the grain parted from its own husk. When the threshed wheat is thrown up into the wind, the light, empty *chaff* is carried off while t..."
,books/symbolic-language/01-introduction.adoc,93,97,826,5,5,"The meaning of words never sits still. When the King James translators wrote that __“he who now letteth will let”__ (2 Thessalonians 2:7), _let_ meant to hinder — the exact opposite of what it means today, so the one who restrains evil i..."
,books/symbolic-language/14-the-remnant.adoc,266,270,826,4,5,"Scripture even names the density it has in mind. The prophetic picture of the kingdom is __“they shall sit every man under his vine and under his fig tree”__ (Micah 4:4) — and that is not a poet's flourish but a quotation, for the phrase..."
,books/symbolic-language/39-sea-and-waters.adoc,556,559,819,3,4,"The sym:sym-sand[sand] is where the sea meets the land — grains beyond all counting, heaped at the boundary. That is why __“the sand of the sea”__ is Scripture’s byword for a multitude past numbering: Abraham’s seed __“as the sym:sym-san..."
,books/symbolic-language/09-the-seal.adoc,12,17,815,6,6,"Ask what the seal of God is, and the answers run vague — a feeling of assurance, an invisible mark, a mystery reserved for the last days. Scripture is not vague about seals. A seal is a signet, and a signet carries one thing: its owner's..."
,books/symbolic-language/15-heaven-and-hell.adoc,193,197,806,5,5,"If endless torment is not in the law, not in the prophets, and not in Revelation's own label, where did the doctrine come from? It has an author, and a paper trail. Plato taught, four centuries before the cross, exactly the two planks Sc..."
,books/symbolic-language/15-heaven-and-hell.adoc,94,97,805,4,4,"__“In death there is *no remembrance* of thee: in the grave who shall give thee thanks?”__ (Psalm 6:5); __“the dead *praise not* the LORD, neither any that go down into *silence*”__ (Psalm 115:17); __“his breath goeth forth… in that very..."
,books/symbolic-language/04-sign-of-jonah.adoc,304,307,803,4,4,Now notice what the symbols have quietly done to the old argument. Because __“the heart of the earth”__ is Jerusalem — not the tomb — the __“three days and three nights”__ are the days the Son of Man spent in the city: taken in under arr...
,books/symbolic-language/06-knowing-faith-love-and-belief.adoc,106,110,798,5,5,James supplies the mirror: the hearer who is not a doer is __“a man observing his natural face *in a mirror*”__ — and the doer looks __“into the *perfect law* of sym:sym-liberty[liberty]”__ (James 1:23-25). The mirror we see dimly in is...
,books/symbolic-language/41-grass.adoc,96,100,798,5,5,"What, then, is *leaven*? It is bread soured. The very consonants that spell it also spell vinegar, an embittered heart, a cruel man; leaven is the loaf turned impure — fermented, puffed up, gone off. Leaven link:/books/symbolic-language/..."
,books/symbolic-language/16-shadow.adoc,181,184,794,4,4,"Through — not into. God __“turneth the shadow of death into the morning”__ (Amos 5:8); He __“brought them out of sym:sym-darkness[darkness] and the shadow of death, and brake their bands in sunder”__ (Psalm 107:14); and on the people sit..."
,books/symbolic-language/38-mountain.adoc,44,47,794,4,4,The sym:sym-stone[stone] itself repays a closer look. It is __“cut out… without hands”__ (Daniel 2:45) — and _to cut_ link:/books/symbolic-language/daniel-unsealed/[is the covenant verb] (Genesis 15:18).footnote:fn33karath[Covenants are...
,books/symbolic-language/03-signs-and-similitudes.adoc,176,181,792,6,6,"Now the scenes run. __“On the third day”__ Abraham lifts up his eyes and sees the place (Genesis 22:4). The wood of the offering is laid on the son, and the son carries it up the hill (Genesis 22:6) — as another Son, on that same ridge,..."
,books/symbolic-language/40-trees.adoc,137,139,790,3,3,"It is why the Gentile is called a dog — __“It is not meet to take the children's sym:sym-bread[bread], and to cast it to dogs,”__ and the woman answers, __“yet the dogs eat of the crumbs”__ (Matthew 15:26-27): outside the house, an uncle..."
,books/symbolic-language/34-the-fall-of-babylon.adoc,57,61,787,5,5,"Mark who can wear that name. A sym:sym-harlot[harlot] is not an outsider; she is a wife gone traitor — harlotry is covenant *defected*, and only a covenant people can commit it: __“How is the *faithful city* become an harlot!”__ (Isaiah..."
,books/symbolic-language/14-the-remnant.adoc,139,142,786,4,4,"This is an orchardman's fact before it is a figure: beat an olive tree for harvest, and only the berries too high and too far out to reach are left clinging. But run the arithmetic the verse invites. A productive olive tree bears on the..."
,books/symbolic-language/47-the-other-white-meat.adoc,109,112,786,4,4,The chapter is doctrinal end to end — it opens on __“false teachers… who privily shall bring in damnable heresies”__ (2 Peter 2:1) and calls them __“wells without water”__ (2 Peter 2:17) — and it ends on the pun the Hebrew Matthew wrote...
,books/symbolic-language/14-the-remnant.adoc,212,215,783,4,4,"Dew — scattered, tiny, life-giving — and the sym:sym-lion[lion]: royal, ruling, and vastly outnumbered. In the great ecosystems, lions run at roughly one or two for every thousand large mammals — a seventh of a percent in the Serengeti —..."
,books/symbolic-language/38-mountain.adoc,166,169,782,3,4,"The picture is of __“dawn,”__ __“mist,”__ or __“fog”__ spread over the __“mountains,”__ which is quite common in early morning and aligns with the visual of a __“day of clouds and thick dark mist.”__ The Hebrew word for __“dawn,”__ _shac..."
,books/symbolic-language/08-the-name.adoc,270,273,778,4,4,"For Ruth is everything the seven women are not, and her story keeps the ledger. She brings no bread of her own: she eats at Boaz’s table until she __“was sufficed, and *left*”__ (Ruth 2:14), gleans his field by the law of the corner — wi..."
,books/symbolic-language/01-introduction.adoc,104,107,776,4,4,"Meaning, however, is not carried by words; it is carried by the relationships among words. Modern AI is living proof of the principle: no one feeds a translation model a dictionary — it learns the meaning of every word in every language..."
,books/symbolic-language/34-the-fall-of-babylon.adoc,111,114,773,4,4,"Mark the quarter the destruction enters by. __“For, lo, I will raise and cause to come up against Babylon an assembly of great nations *from the* sym:sym-north[north] *country*”__ (Jeremiah 50:9); __“a people shall come *from the north*,..."
,books/symbolic-language/03-signs-and-similitudes.adoc,194,198,772,5,5,"Or take Joseph, and count the frames as they go by. Betrayed by his brothers; stripped of his garment; sold for pieces of silver; condemned between two prisoners, of whom one was lifted up to the king’s presence and the other hanged (Gen..."
,books/symbolic-language/17-justice-and-judgment.adoc,154,156,770,3,3,"link:/books/symbolic-language/the-fear-of-the-lord/[Solomon ends his book] on the two clauses this book keeps finding joined — sym:sym-fear[fear] God, and keep his commandments (Ecclesiastes 12:13) — and then: __“For God shall bring ever..."
