anchor,term,relation,relationship_votes,citation_support,citation_support_votes,persuasion,persuasion_votes,final_verdict
ephraim,Ephraim,DISPUTED,REFINED|REFINED|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,DISPUTED
eye,Eye,MATCH,MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
faithful-witness,Faithful Witness,MATCH,MATCH|MATCH|MATCH|REFINED,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
fatherless,"Fatherless, orphan",REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
fear,Fear of the LORD,MATCH,MATCH|MATCH|MATCH|MATCH,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,MATCH
feet,Feet,MATCH,MATCH|MATCH|MATCH|MATCH,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,MATCH
fig,Fig leaves,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
field,Field,MATCH,MATCH|MATCH|MATCH|REFINED,DISPUTED,PARTIAL|STRONG|STRONG|PARTIAL,NOT_APPLICABLE,,MATCH
fire,Fire,REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
firmament,Firmament (Heaven),REFINED,REFINED|REFINED|NOVEL|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
fish,Fish,MATCH,MATCH|MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
fish-2,"Fish (great fish, sea-monster)",DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,DIVERGENT_PENDING
flood,Flood,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,DIVERGENT_PENDING
fool,Fool,MATCH,REFINED|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
foreskin,Foreskin (uncircumcised),DISPUTED,REFINED|MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
fornication,"Fornication, whoredom",MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
four,Four winds,DIVERGENT,DIVERGENT|REFINED|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,DIVERGENT_PENDING
fruit,Fruit,REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,STRONG|PARTIAL|PARTIAL|STRONG,NOT_APPLICABLE,,REFINED
garden,Garden,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,DIVERGENT_PENDING
garment,Garment,REFINED,REFINED|MATCH|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
gehenna,"Gehenna (hell, the lake of fire)",DISPUTED,MATCH|REFINED|MATCH|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
gnashing,Gnashing of teeth,REFINED,REFINED|REFINED|REFINED,STRONG,PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
gospel,Gospel,DISPUTED,REFINED|DIVERGENT|DIVERGENT|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,DISPUTED
grafting,Grafting (grafted in),MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
grapes,Grapes,REFINED,REFINED|REFINED|MATCH|REFINED,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
grass,Grass,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
harlot,Harlot,REFINED,REFINED|REFINED|REFINED|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
harvest,Harvest,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
heart,Heart of the earth,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,DIVERGENT_PENDING
heaven,Heaven,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
hell,Hell,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,DIVERGENT_PENDING
helmet,Helmet of salvation,REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
highway,Highway,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
horse,"Horse, white horse",REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
image,"Image of metals (gold, silver, brass, clay)",MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
instruction,Instruction,DISPUTED,REFINED|MATCH|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,DISPUTED
iron,Iron,REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
island,"Island, isle",DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,DIVERGENT_PENDING
israel,Israel,REFINED,REFINED|MATCH|REFINED,STRONG,PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
jacob,Jacob,REFINED,DIVERGENT|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
jew,Jew,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
judgment,Judgment,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
justice,Justice,REFINED,REFINED|REFINED|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
knowing,"Knowing, to know",MATCH,MATCH|MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
lamb,Lamb,DISPUTED,DIVERGENT|REFINED|REFINED|DIVERGENT,DISPUTED,PARTIAL|STRONG|STRONG|PARTIAL,NOT_APPLICABLE,,DISPUTED
lamp,Lamp,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
leaven,Leaven,DISPUTED,REFINED|REFINED|MATCH|MATCH,STRONG,STRONG|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
liberty,Liberty,MATCH,MATCH|MATCH|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,MATCH
life,Life (the life),DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,DIVERGENT_PENDING
light,Light,REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,STRONG|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
lion,Lion,REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
living,Living creature,NOVEL,NOVEL|NOVEL|NOVEL|NOVEL,PARTIAL,PARTIAL|PARTIAL|PARTIAL|INSUFFICIENT,NOT_APPLICABLE,,NOVEL
living-2,Living water,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
lost,Lost sheep,REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
marriage,"Marriage, bride",MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
meat,Meat,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,DIVERGENT_PENDING
milk,Milk,REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
moment,Moment,REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG,NOT_APPLICABLE,,REFINED
moon,Moon,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,DIVERGENT_PENDING
mountain,Mountain,REFINED,DIVERGENT|REFINED|REFINED,STRONG,PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
naked,"Naked, nakedness",REFINED,REFINED|REFINED|REFINED,STRONG,STRONG|PARTIAL|STRONG,NOT_APPLICABLE,,REFINED
name,Name,DISPUTED,REFINED|DIVERGENT|NOVEL,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,DISPUTED
net,Net,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
new,New name,REFINED,REFINED|MATCH|REFINED,STRONG,PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
new-moon,New moon,MATCH,MATCH|MATCH|MATCH,STRONG,PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,MATCH
night,Night,MATCH,MATCH|MATCH|MATCH,PARTIAL,PARTIAL|PARTIAL|STRONG,NOT_APPLICABLE,,MATCH
nineveh,Nineveh,MATCH,MATCH|MATCH|REFINED,PARTIAL,PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,MATCH
north,"North, the north country",REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
oil,Oil (lamp oil),DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,DIVERGENT_PENDING
olive,"Olive, vine, fig",MATCH,MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|PARTIAL,NOT_APPLICABLE,,MATCH
peace,Peace,REFINED,REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
pearl,Pearl,NOVEL,NOVEL|NOVEL|NOVEL,PARTIAL,PARTIAL|INSUFFICIENT|PARTIAL,NOT_APPLICABLE,,NOVEL
poor,"Poor, meek, needy",MATCH,MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
remnant,Remnant,REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
rich,Rich,MATCH,MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
righteousness,Righteousness,REFINED,DIVERGENT|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
rock,Rock,REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
sand,Sand,REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG,NOT_APPLICABLE,,REFINED
sabbath,Sabbath,DIVERGENT,DIVERGENT|DIVERGENT|NOVEL,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,DIVERGENT_PENDING
scarlet,Scarlet,REFINED,DIVERGENT|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
sea,"Sea, waters",REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG,NOT_APPLICABLE,,REFINED
seal,Seal (mark in the forehead),REFINED,REFINED|MATCH|REFINED,PARTIAL,PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
seed,Seed,MATCH,MATCH|MATCH,STRONG,STRONG|STRONG,NOT_APPLICABLE,,MATCH
serpent,Serpent,REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
shadow,Shadow,REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG,NOT_APPLICABLE,,REFINED
sheep,Sheep,MATCH,MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
sheol,"Sheol (the grave, “hell”)",REFINED,REFINED|MATCH|REFINED,STRONG,PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
ship,Ship,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT,STRONG,PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,DIVERGENT_PENDING
sign,Sign,REFINED,REFINED|REFINED|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG,NOT_APPLICABLE,,REFINED
sin,Sin,MATCH,MATCH|REFINED|MATCH,STRONG,STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
sodom,"Sodom, Gomorrah",REFINED,REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
stars,Stars,DIVERGENT,DIVERGENT|REFINED|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG,NOT_APPLICABLE,,DIVERGENT_PENDING
stone,Stone (cut without hands),DIVERGENT,DIVERGENT|REFINED|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,DIVERGENT_PENDING
storm,"Storm, tempest",REFINED,REFINED|DIVERGENT|REFINED,STRONG,STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
stranger,Stranger,REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
sun,Sun,REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
swine,"Swine (pig, boar, sow)",REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG,NOT_APPLICABLE,,REFINED
sword,Sword,REFINED,REFINED|REFINED|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
tail,Tail,REFINED,REFINED|MATCH|REFINED,STRONG,PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
tares,Tares (darnel),MATCH,MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
tower,Tower,REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
tree,Tree,REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG,NOT_APPLICABLE,,REFINED
truth,Truth (the truth),DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,DIVERGENT_PENDING
tzitzit,Tzitzit,MATCH,MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
understanding,Understanding,REFINED,REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
valley,Valley,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG,NOT_APPLICABLE,,DIVERGENT_PENDING
virgin,Virgin,REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG,NOT_APPLICABLE,,REFINED
voice,Voice,REFINED,REFINED|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
way,Way (the way),DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,STRONG|PARTIAL|PARTIAL,NOT_APPLICABLE,,DIVERGENT_PENDING
wall,Wall,REFINED,REFINED|REFINED,STRONG,STRONG|STRONG,NOT_APPLICABLE,,REFINED
week,Week,MATCH,MATCH|MATCH|MATCH,PARTIAL,PARTIAL|PARTIAL|STRONG,NOT_APPLICABLE,,MATCH
west,West,REFINED,REFINED|REFINED|REFINED,STRONG,PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
wheat,Wheat,MATCH,MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
widow,Widow,REFINED,REFINED|REFINED|DIVERGENT,STRONG,PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
wind,Wind,MATCH,REFINED|MATCH|MATCH,PARTIAL,PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,MATCH
winepress,Winepress,REFINED,REFINED|REFINED|REFINED,STRONG,STRONG|PARTIAL|STRONG,NOT_APPLICABLE,,REFINED
wings,Wings (kanaph),REFINED,REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
wisdom,Wisdom,REFINED,REFINED,STRONG,STRONG,NOT_APPLICABLE,,REFINED
wise,Wise,MATCH,MATCH|MATCH,STRONG,STRONG|STRONG,NOT_APPLICABLE,,MATCH
worship,Worship,PENDING,,PENDING,,NOT_APPLICABLE,,PENDING
year,Year,PENDING,,PENDING,,NOT_APPLICABLE,,PENDING
